Age Group,Subject,Resource Type,Game Name,Take From Repo,Use Only In,Pratham Comments,LE Comments
This table contains the information for which age group and subject each of the games should appear in. This categorization applies for English language folder only.,,,,,,,
,,,,,,,
3-6 years,Fun,Game,Coloring,English,,,
3-6 years,Fun,Game,Sangeet,Hindi,,,Taken from Hindi because English version has Android errors
3-6 years,Fun,Game,TracingGame,English,,,
3-6 years,Fun,Game,Golmaal,English,,,
3-6 years,Fun,Game,AwazPehchano,English,,,
3-6 years,Language,Game,CityOfStories,,,,Available only on website
3-6 years,Language,Game,ChitraVichitra,English,,,
3-6 years,Language,Game,ABCD,English,,,
3-6 years,Language,Game,fixUpMixUp,English,,,
3-6 years,Mathematics,Game,CountIt,English,,,
3-6 years,Mathematics,Game,CountAndKnow,English,,,
3-6 years,Mathematics,Game,RailGadi,English,,,
3-6 years,Mathematics,Game,DingDangDing,English,,,
,,,,,,,
,,,,,,,
6-10 years,Fun,Game,Golmaal,English,,,
6-10 years,Fun,Game,Coloring,English,,,
6-10 years,Fun,Game,Sangeet,Hindi,,,Taken from Hindi because English version has Android errors
6-10 years,Fun,Game,GuessWho,English,,English equivalent of MujhePehchano,
6-10 years,Language,Game,GuessWho,English,,English equivalent of MujhePehchano,
6-10 years,Language,Game,ABCD,English,,,
6-10 years,Language,Game,CrumbleTumble,English,,,
6-10 years,Language,Game,fixUpMixUp,English,,,
6-10 years,Language,Game,FlipIt,English,,,
6-10 years,Language,Game,LetterBox,English,,,
6-10 years,Language,Game,PointMeOut,English,,,
6-10 years,Language,Game,YouSaid,English,,,
6-10 years,Language,Game,City Of Stories,English,,,
6-10 years,Mathematics,Game,CountIt,English,,,
6-10 years,Mathematics,Game,CountAndKnow,English,,,
6-10 years,Mathematics,Game,RailGadi,English,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
8-14 years,Fun,Game,Golmaal,English,,,
8-14 years,Language,Game,ABCD,English,,,
8-14 years,Language,Game,CrumbleTumble,English,,,
8-14 years,Language,Game,fixUpMixUp,English,,,
8-14 years,Language,Game,FlipIt,English,,,
8-14 years,Language,Game,GuessWho,English,,English equivalent of MujhePehchano,
8-14 years,Language,Game,JumbleTumble,English,,,
8-14 years,Language,Game,LetterBox,English,,,
8-14 years,Language,Game,YouSaid,English,,,
8-14 years,Mathematics,Game,CountIt,English,,,
8-14 years,Mathematics,Game,CountAndKnow,English,,,
8-14 years,Mathematics,Game,RailGadi,English,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
14 and above,Fun,Game,Golmaal,English,,,
14 and above,Language,Game,ABCD,English,,,
14 and above,Language,Game,CrumbleTumble,English,,,
14 and above,Language,Game,fixUpMixUp,English,,,
14 and above,Language,Game,FlipIt,English,,,
14 and above,Language,Game,GuessWho,English,,English equivalent of MujhePehchano,
14 and above,Language,Game,JumbleTumble,English,,,
14 and above,Language,Game,LetterBox,English,,,
14 and above,Language,Game,YouSaid,English,,,
14 and above,Mathematics,Game,CountIt,English,,,
14 and above,Mathematics,Game,CountAndKnow,English,,,
14 and above,Mathematics,Game,RailGadi,English,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
New LanguageAndCommunication tab with sign language,,,,,,,
6-10 years,LanguageAndCommunication,Website Resources,,,,,
8-14 years,LanguageAndCommunication,Website Resources,,,,,
14 and above,LanguageAndCommunication,Website Resources,,,,,
