Age Group,Subject,Resource Type,Game Name,Take From Repo,Use Only In,Pratham Comments,LE Comments
This table contains the information for which age group and subject each of the games should appear in. This categorization applies accross all languages except English.,,,,,,,
3-6 YEARLS OLD,,,,,,,
,,,,,,,
Hindi games tabs,,,,,,,
3-6 years,KhelBadi,Website Resources,,,,,
3-6 years,WatchAndDo,Website Resources,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
3-6 years,Mathematics,Game,ChitraVichitra,,,,
3-6 years,Mathematics,Game,DingDangDing,,,,
3-6 years,Mathematics,Game,NumberKas,,,,
3-6 years,Mathematics,Game,RailGadi,,,,
3-6 years,Mathematics,Game,CountingInTheKitchen,,,,
3-6 years,Mathematics,Game,Manmauji,,,http://prathamopenschool.org/hn/game/7936,"# ""मौज"""
3-6 years,Mathematics,Game,Nembaaz,,,http://prathamopenschool.org/hn/game/7604,"# ""खेळ-वाडी"","
3-6 years,Mathematics,Game,Nishanebaaz,,,,same as Nembaaz
3-6 years,Mathematics,Game,Daud,,,http://prathamopenschool.org/hn/game/7602,"# ""खेळ-वाडी"","
,,,,,,,
3-6 years,Language,Game,Awazchitra,,,,
3-6 years,Language,Game,KhelbadiKahaniyan,,,,
3-6 years,Language,Game,Aakar,,,,
3-6 years,Language,Game,Aksharkhadi,,,,
3-6 years,Language,Game,AwazChitra,,,,
3-6 years,Language,Game,AwazPehchano,,,,
3-6 years,Language,Game,Barakhadi,,,,
3-6 years,Language,Game,BolBacchaBol,,,,
3-6 years,Language,Game,MujhePehchano,,,,
3-6 years,Language,Game,Aksharkhel,,,http://prathamopenschool.org/hn/game/7609,"# ""खेळ-वाडी"","
,,,,,,,
3-6 years,English,Game,CityOfStories,,,,Available only on website
3-6 years,English,Game,ABCD,English,,,
3-6 years,English,Game,fixUpMixUp,English,,,
,,,,,,,
,,,,,,,
3-6 years,Fun,Game,Coloring,,,,
3-6 years,Fun,Game,Golmaal,,,,
3-6 years,Fun,Game,Sangeet,,,,
3-6 years,Fun,Game,Aakar,,,,
3-6 years,Fun,Game,JigsawGame,,,,
3-6 years,Fun,Game,Manmauji,,,http://prathamopenschool.org/hn/game/7936,"# ""खेळ-वाडी"","
3-6 years,Fun,Game,Nembaaz,,,http://prathamopenschool.org/hn/game/7604,"# ""खेळ-वाडी"","
3-6 years,Fun,Game,Nishanebaaz,,,,same as Nembaaz
3-6 years,Fun,Game,Daud,,,,
3-6 years,Fun,Game,Memorygamekb,,,,
3-6 years,Fun,Game,ShabdKhel,,,http://prathamopenschool.org/hn/game/7610,"# ""खेल-पुरी"","
3-6 years,Fun,Game,Shabdkhel,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
6-10 YEARLS OLD,,,,,,,
,,,,,,,
6-10 years,Sports,Website Resources,,,,CRS136 in HI,Football
6-10 years,Fun,Website Resources,,,,,
6-10 years,Music,Website Resources,,,,,
6-10 years,Theatre,Website Resources,,,,New Mar 18,
,,,,,,,
,,,,,,,
Hindi games tabs,,,,,,,
6-10 years,KhelPuri,Website Resources,,,,,6-10 games
,,,,,,,
,,,,,,,
6-10 years,Mathematics,Game,Dhoom_1,,,,
6-10 years,Mathematics,Game,JaanoNumber,,,,
6-10 years,Mathematics,Game,LineLagao,,,,
6-10 years,Mathematics,Game,Number123,,,,
6-10 years,Mathematics,Game,NumberKas,,,,
6-10 years,Mathematics,Game,Daud,,,http://prathamopenschool.org/hn/game/7602,"# ""खेळ-वाडी"","
6-10 years,Mathematics,Game,MakeUpShakeUp,,,http://prathamopenschool.org/hn/game/7608,"# ""खेळ-पुरी"""
6-10 years,Mathematics,Game,TikTok,,,http://prathamopenschool.org/hn/game/7611,"# ""खेळ-वाडी"","
,,,,,,,
,,,,,,,
6-10 years,Language,Game,Awazchitra,,,,Available only on website
,,,,,,,
6-10 years,Language,Game,Aksharkhel,,,,Available in MR only
6-10 years,Language,Game,AbKahanHai,,,,
6-10 years,Language,Game,AgePiche,,,,
6-10 years,Language,Game,Aksharkhadi,,,,
6-10 years,Language,Game,AksharMatra,,,,
6-10 years,Language,Game,baloongame,,,,Available only on website
6-10 years,Language,Game,Barahghar,,,,
6-10 years,Language,Game,Barakhadi,,,,
6-10 years,Language,Game,BarakhadiBanao,,,,
6-10 years,Language,Game,BarakhadiSeekho,,,,
6-10 years,Language,Game,Bhaloo_ki_Barakhadi,,,,
6-10 years,Language,Game,EkSeAnek,,,,
6-10 years,Language,Game,GaltiMaafSudharo,,,,
6-10 years,Language,Game,Gubbare,,,,
6-10 years,Language,Game,HelloHello,,,,
6-10 years,Language,Game,Judwa,,,,
6-10 years,Language,Game,Kahaniyaan,,,,
6-10 years,Language,Game,MindMapWheel,,,,
6-10 years,Language,Game,MujheDhundho,,,,
6-10 years,Language,Game,PattaPalat,,,,
6-10 years,Language,Game,ShabdhChitra,,,,
6-10 years,Language,Game,Suno_Pehchano,,,,
6-10 years,Language,Game,ThikThak,,,,
6-10 years,Language,Game,Aakar,,,,
6-10 years,Language,Game,UlatPalat,,,,
6-10 years,Language,Game,KhelbadiKahaniyan,,,,"Available in MR only, ""also known as ECE Story Game"""
6-10 years,Language,Game,BhalooKiBarakhadi,,,,
6-10 years,Language,Game,ShabdKhel,,,,
6-10 years,Language,Game,Shabdkhel,,,,
,,,,,,,
,,,,,,,
6-10 years,English,Game,City Of Stories,English,,,
6-10 years,English,Game,ABCD,English,,,
6-10 years,English,Game,CrumbleTumble,English,,,
6-10 years,English,Game,fixUpMixUp,English,,,
6-10 years,English,Game,FlipIt,English,,,
6-10 years,English,Game,GuessWho,English,,,
6-10 years,English,Game,LetterBox,English,,,
6-10 years,English,Game,PointMeOut,English,,,
6-10 years,English,Game,YouSaid,English,,,
6-10 years,English,Game,Estimation,Hindi,,,
,,,,,,,
,,,,,,,
6-10 years,Fun,Game,JigsawGame,,,,Website only
6-10 years,Fun,Game,AwazPehchano,,,,
6-10 years,Fun,Game,Coloring,,,,
6-10 years,Fun,Game,Jigsaw,,,,
6-10 years,Fun,Game,MujhePehchano,,,,
6-10 years,Fun,Game,Sangeet,,,,
6-10 years,Fun,Game,TikTok,,,http://prathamopenschool.org/hn/game/7611,
6-10 years,Fun,Game,Daud,,,,
6-10 years,Fun,Game,MemoryGame,,,http://prathamopenschool.org/hn/FunResource/7612,"# ""खेळ-वाडी"","
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
8-14 YEARLS OLD,,,,,,,
,,,,,,,
8-14 years,Mathematics,Website Resources,,,,,
8-14 years,English,Website Resources,,,,,
8-14 years,Science,Website Resources,,,,,
8-14 years,Health,Website Resources,,,,,
8-14 years,Sports,Website Resources,,,,,Football
8-14 years,Fun,Website Resources,,,,,
8-14 years,Story,Website Resources,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
8-14 years,Mathematics,Game,CountAndKnow,English,,,
8-14 years,Mathematics,Game,CountIt,English,,,
8-14 years,Mathematics,Game,Cricket,,,,
8-14 years,Mathematics,Game,Dhoom_2,,,,
,,,,,,,
,,,,,,,
8-14 years,Language,Game,ABCD,English,,,
8-14 years,Language,Game,CrumbleTumble,English,,,
8-14 years,Language,Game,fixUpMixUp,English,,,
8-14 years,Language,Game,FlipIt,English,,,
8-14 years,Language,Game,GuessWho,English,,,
8-14 years,Language,Game,JumbleTumble,English,,,
8-14 years,Language,Game,LetterBox,English,,,
8-14 years,Language,Game,YouSaid,English,,,
8-14 years,Language,Game,CorrectPair,English,,,
8-14 years,Language,Game,PointMeOut,English,,,
8-14 years,Language,Game,GaltiMaafSudharo,,,,Game only on website
8-14 years,Language,Game,CountAndKnow,English,,,
8-14 years,Language,Game,CountIt,English,,,
,,,,,,,
,,,,,,,
8-14 years,Science,Game,UlatPalatScience,,,,
8-14 years,Science,Game,UlatPalat2Science,,,,
,,,,,,,
8-14 years,English,Game,ABCD,English,,,
