Name on gamerepo,Hindi,English,Odiya,Bangali,Punjabi,Kannada,Tamil,Telugu,Marathi,Gujarati,Assamese
ABCD,N/A,ABCD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
fixUpMixUp,N/A,fixUpMixUp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aakar,Aakar_KKS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Aakar_KKS,N/A
Color,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Coloring,Coloring_HI,N/A,Coloring_OD,Coloring_BN,Coloring_PN,Coloring_KN,Coloring_TM,Coloring_TL,Coloring_MR,Coloring_GJ,Coloring_AS
Golmaal,Golmaal_HI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golmaal_MR,N/A,N/A
Rhythm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sangeet,Sangeet_HI,N/A,Sangeet_OD,Sangeet_BN,Sangeet_PN,Sangeet_KN,Sangeet_TM,Sangeet_TL,Sangeet_MR,Sangeet_GJ,Sangeet_AS
TracingGame,TracingGame_HI,N/A,TracingGame_OD,TracingGame_BN,TracingGame_PN,TracingGame_KN,TracingGame_TM,TracingGame_TL,TracingGame_MR,TracingGame_GJ,TracingGame_AS
Aksharkhadi,Aksharkhadi_HI and Aksharkhadi_KKS,N/A,Aksharkhadi_OD,Aksharkhadi_BN,Aksharkhadi_PN,Aksharkhadi_KN,Aksharkhadi_TM,Aksharkhadi_TL,Aksharkhadi_MR,Aksharkhadi_GJ,Aksharkhadi_AS
AwazChitra,AwazChitra_HI,N/A,AwazChitra_OD,AwazChitra_BN,AwazChitra_PN,AwazChitra_KN,AwazChitra_TM,AwazChitra_TL,AwazChitra_MR,AwazChitra_GJ,AwazChitraAS_Assamese and AwazChitra_AS
AwazPehchano,AwazPehchano_HI,N/A,AwazPehchano_OD,AwazPehchano_BN,AwazPehchano_PN,AwazPehchano_KN,AwazPehchano_TM,AwazPehchano_TL,AwazPehchano_MR,AwazPehchano_GJ,AwazPehchano_AS
Barakhadi,Barakhadi_HI,N/A,Barakhadi_OD,Barakhadi_BN,Barakhadi_PN,Barakhadi_KN,Barakhadi_TM,Barakhadi_TL,Barakhadi_MR,Barakhadi_GJ,Barakhadi_AS
BolBacchaBol,BolBacchaBol_HI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BolBacchaBol_MR,N/A,N/A
GuessMe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MujhePehchano,MujhePehchano_HI,N/A,MujhePehchano_OD,MujhePehchano_BN,MujhePehchano_PN,MujhePehchano_KN,MujhePehchano_TM,MujhePehchano_TL,MujhePehchano_MR,MujhePehchano_GJ,MujhePehchano_AS
ChitraVichitra,ChitraVichitra_HI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ChitraVichitra_MR,N/A,N/A
